receiptID,Number of Ligands,Kendalls Tau, Kendalls Tau Error, Spearman's Rho, Spearman's Rho Error,Pearson's r, Pearson's r Error, RMSD, RMSD Error
xr834,15,0.0193,0.188,0.0643,0.251,0.026,0.159,0.747,0.184
5bvwx,15,0.116,0.226,0.207,0.278,0.256,0.172,0.677,0.201
0psyy,15,-0.0291,0.217,-0.0259,0.277,0.00492,0.259,24.2,13.5
bolbu,15,0.174,0.203,0.246,0.249,0.175,0.228,2.25,0.189
axxmu,15,0.29,0.158,0.496,0.184,0.423,0.141,1.06,0.184
1bhkb,15,0.115,0.208,0.17,0.25,0.0899,0.245,0.704,0.244
a3c8k,15,-0.0291,0.221,-0.0259,0.282,0.163,0.29,3.38,1.09
8nbnv,15,0.0387,0.143,0.0893,0.217,-0.00137,0.144,5.5,1.24
7hw77,15,0.0387,0.181,0.0964,0.244,0.14,0.202,2.95,0.859
oo7gj,15,-0.367,0.156,-0.532,0.188,-0.263,0.148,1.74,0.265
pbjwu,15,0.0633,0.227,0.142,0.257,0.173,0.22,1.85,0.295
2yqgz,15,0.115,0.211,0.17,0.251,0.0899,0.25,0.704,0.245
o8bk4,15,0.058,0.177,0.0393,0.243,0.12,0.196,2.55,0.292
nrdge,15,0.39,0.167,0.555,0.182,0.326,0.177,0.905,0.19
ceiling,15,0,0,0,0,0.82,0.06,0,0
